station,latitude,longitude,water_depth,years_active
C,48.67166667,-123.501,178,1978
C01,52.87833333,-129.8966667,190,1977
C02,52.91666667,-129.6166667,200,1977
C03,52.9,-129.3166667,99999,1977
C1,48.47966667,-125.268,153,1977|1985|1986|1987|1988|1989|1990|1991|1992|1993
C2,75.525,-97.33,54,1977
C3,75.50833333,-97.17333333,94,1977
C4,75.505,-97.13333333,280,1977|1978
C5,75.5,-97.085,319,1977|1978
C6,75.48,-97.04833333,273,1977
CA01,47.94,-129.1616667,99999,1994|1995
CA95,47.93266667,-129.1638333,2390,1995|1996
CAM1,52.78078333,-129.5003333,427,2015|2016
CAM2,52.91653333,-129.25845,237,2015|2016
CAPE,49.11666667,-124.8166667,146,1980
CAPE BEALE,49.11666667,-124.8166667,146,1980
CB,50.6947,-126.6208667,34.3,2000
CB01,48.125,-128.3516667,9999,1994|1995
CB02,47.75,-127.7483333,99999,1994
CB1,48.72166667,-125.31,146,1980|1981
CBGW,47.78,-127.75,2615,1995
CC21,50.45833333,-125.76,14,1987|1988
CC22,50.405,-125.7716667,104,1987|1988
CC23,50.39333333,-125.51,18,1987|1988
CC24,49.90333333,-125.1,102,1987
CD0100,71.275,-131.1466667,96,1989
CG-1,70.88333333,-145.925,190,1981
CG-2,70.93333333,-146.0166667,370,1981
CG-3,70.96333333,-146.0333333,840,1981
CHAT1,54.201,-130.4503333,112,2018|2019|2020
CHAT2,54.26256667,-130.7601667,192,2018|2019|2020|2021
CHAT3,54.52730333,-130.5412583,163,2019|2020|2021|2022
CLAY1,49.30455,-126.0243167,90.85,2022|2023
CLAY2,49.3191,-126.0331833,71.15,2022
CM-1,71.19166667,-132.115,99,1979|1981|1993|1994
CM-2,70.945,-133.5183333,77,1981|1993|1994
CM-3,71.38666667,-130.355,62,1979|1981
CM01,73.26166667,-116.2766667,-1,1982
CM02,73.24333333,-116.2766667,-1,1982
CM03,73.225,-116.2633333,-1,1982
CM04,73.20666667,-116.23,-1,1982
CM05,73.19333333,-116.25,-1,1982
